model_name,model_type,input_window,output_window,mae_train,mae_val,mae_test,n_params
CNN_f16_k3_in10_out30_GAP,convolutional,10,30,0.002152,0.001701,0.002318,4663
CNN_f16_k3_in10_out30_GAP,convolutional,10,30,0.002165,0.001709,0.002322,4663
CNN_f64_k3_in10_out90_MP_GAP,convolutional,10,90,0.001172,0.00093,0.001312,55383
CNN_f32_k3_in10_out5_GAP,convolutional,10,5,0.005339,0.004151,0.005585,13335
CNN_f64_k3_in10_out1_GAP,convolutional,10,1,0.011549,0.009037,0.01226,40279
CNN_f32_k3_in5_out1_GAP,convolutional,5,1,0.01146,0.009031,0.012351,11399
CNN_f256_k3_in5_out5_GAP,convolutional,5,5,0.005332,0.004154,0.005578,451479
CNN_f64_k3_in5_out30_GAP,convolutional,5,30,0.002152,0.001703,0.002319,40279
CNN_f64_k3_in5_out90_GAP,convolutional,5,90,0.001229,0.000927,0.001262,55447
CNN_f64_k5_in90_out1_MP_GAP,convolutional,90,1,0.011556,0.009042,0.012284,231607
CNN_f32_k7_in90_out5_MP_GAP,convolutional,90,5,0.005343,0.004149,0.005597,272599
CNN_f128_k7_in90_out30_MP_GAP,convolutional,90,30,0.001795,0.002142,0.00266,1245143
CNN_f128_k7_in90_out90_MP_GAP,convolutional,90,90,0.00096,0.001209,0.001231,1337495
CNN_f64_k3_in30_out1_MP_GAP,convolutional,30,1,0.011553,0.009039,0.012265,170391
CNN_f64_k3_in30_out5_MP_GAP,convolutional,30,5,0.00534,0.004143,0.005588,236183
CNN_f64_k3_in30_out30_MP_GAP,convolutional,30,30,0.001781,0.001915,0.002512,236183
CNN_f64_k7_in30_out90_MP_GAP,convolutional,30,90,0.000972,0.000991,0.001314,405911
CNN_LSTM_cf32_64_lstm64_in10_out90,cnn_lstm,10,90,0.001256,0.000947,0.001293,50135
CNN_LSTM_cf16_32_lstm48_in10_out30,cnn_lstm,10,30,0.002184,0.001743,0.002363,34359
CNN_LSTM_cf16_32_lstm48_in10_out30,cnn_lstm,10,30,0.002181,0.00174,0.002358,34359
CNN_LSTM_cf16_32_lstm40_in10_out5,cnn_lstm,10,5,0.00537,0.004168,0.005606,19927
CNN_LSTM_cf16_32_lstm40_in10_out5,cnn_lstm,10,5,0.005343,0.004158,0.005591,19927
CNN_LSTM_cf16_32_lstm40_in10_out5,cnn_lstm,10,5,0.005339,0.004151,0.005585,19927
CNN_LSTM_cf16_32_lstm32_in10_out1,cnn_lstm,10,1,0.01158,0.009033,0.012253,12919
CNN_LSTM_cf16_32_lstm32_in10_out1,cnn_lstm,10,1,0.011551,0.009034,0.012255,12919
CNN_LSTM_cf16_lstm24_in5_out90,cnn_lstm,5,90,0.00125,0.000961,0.001289,18039
CNN_LSTM_cf16_lstm24_in5_out90,cnn_lstm,5,90,0.001249,0.000957,0.001265,18039
CNN_LSTM_cf16_lstm24_in5_out30,cnn_lstm,5,30,0.002171,0.001718,0.002329,18039
CNN_LSTM_cf16_lstm24_in5_out30,cnn_lstm,5,30,0.002152,0.001703,0.00232,18039
CNN_LSTM_cf16_lstm20_in5_out5,cnn_lstm,5,5,0.005362,0.004184,0.005611,8295
CNN_LSTM_cf16_lstm20_in5_out5,cnn_lstm,5,5,0.005361,0.004182,0.00561,8295
CNN_LSTM_cf32_lstm20_in5_out5,cnn_lstm,5,5,0.00531,0.004154,0.005588,10727
CNN_LSTM_cf32_lstm20_in5_out5,cnn_lstm,5,5,0.005317,0.004158,0.005605,10727
CNN_LSTM_cf64_lstm20_in5_out5,cnn_lstm,5,5,0.005255,0.004166,0.005604,15591
CNN_LSTM_cf64_lstm20_in5_out5,cnn_lstm,5,5,0.005312,0.004158,0.005618,15591
CNN_LSTM_cf32_64_lstm72_in30_out90,cnn_lstm,30,90,0.001248,0.000948,0.001282,68663
CNN_LSTM_cf32_64_lstm60_in30_out5,cnn_lstm,30,5,0.005361,0.004173,0.00561,46855
CNN_LSTM_cf32_64_lstm60_in30_out5,cnn_lstm,30,5,0.005279,0.004146,0.005584,46855
CNN_LSTM_cf32_64_lstm60_in30_out5,cnn_lstm,30,5,0.00534,0.004144,0.005588,46855
CNN_LSTM_cf32_64_lstm60_in30_out5,cnn_lstm,30,5,0.005361,0.004171,0.005611,46855
CNN_LSTM_cf32_64_lstm48_in30_out1,cnn_lstm,30,1,0.011593,0.009069,0.012291,34135
CNN_LSTM_cf32_64_lstm48_in30_out1,cnn_lstm,30,1,0.01155,0.009038,0.012264,34135
CNN_LSTM_cf32_64_lstm48_in30_out1,cnn_lstm,30,1,0.011556,0.009042,0.012266,35671
CNN_LSTM_cf32_64_lstm48_in30_out1,cnn_lstm,30,1,0.011566,0.00905,0.012272,35671
CNN_LSTM_cf32_64_lstm96_48_in90_out90,cnn_lstm,90,90,0.001237,0.000946,0.001295,115799
CNN_LSTM_cf32_64_lstm96_48_in90_out30,cnn_lstm,90,30,0.002185,0.001752,0.002347,115799
CNN_LSTM_cf32_64_lstm80_in90_out5,cnn_lstm,90,5,0.005379,0.004201,0.005639,64535
CNN_LSTM_cf32_64_lstm64_in90_out1,cnn_lstm,90,1,0.011591,0.009062,0.012298,45975
