model_name,model_type,input_window,output_window,mae_train,mae_val,mae_test,n_params
Buy_and_Hold,baseline,5,1,0.011566,,0.012244,0
Naive_LastValue,baseline,5,1,0.016351,,0.017788,0
Zero_Prediction,baseline,5,1,0.011546,,0.012257,0
Buy_and_Hold,baseline,5,5,0.00534,,0.005583,0
Naive_LastValue,baseline,5,5,0.012945,,0.013656,0
Zero_Prediction,baseline,5,5,0.005351,,0.005604,0
Buy_and_Hold,baseline,5,30,0.002154,,0.00232,0
Naive_LastValue,baseline,5,30,0.011841,,0.012523,0
Zero_Prediction,baseline,5,30,0.002197,,0.002355,0
Buy_and_Hold,baseline,5,90,0.001233,,0.001267,0
Naive_LastValue,baseline,5,90,0.011671,,0.012255,0
Zero_Prediction,baseline,5,90,0.001303,,0.001323,0
Buy_and_Hold,baseline,10,1,0.011566,,0.012244,0
Naive_LastValue,baseline,10,1,0.016352,,0.017788,0
Zero_Prediction,baseline,10,1,0.011547,,0.012257,0
Buy_and_Hold,baseline,10,5,0.00534,,0.005584,0
Naive_LastValue,baseline,10,5,0.012945,,0.013659,0
Zero_Prediction,baseline,10,5,0.005351,,0.005605,0
Buy_and_Hold,baseline,10,30,0.002154,,0.00232,0
Naive_LastValue,baseline,10,30,0.011842,,0.012523,0
Zero_Prediction,baseline,10,30,0.002198,,0.002355,0
Buy_and_Hold,baseline,10,90,0.001233,,0.001267,0
Naive_LastValue,baseline,10,90,0.011671,,0.012255,0
Zero_Prediction,baseline,10,90,0.001303,,0.001323,0
Buy_and_Hold,baseline,30,1,0.011569,,0.012251,0
Naive_LastValue,baseline,30,1,0.016356,,0.017795,0
Zero_Prediction,baseline,30,1,0.011549,,0.012264,0
Buy_and_Hold,baseline,30,5,0.005341,,0.005588,0
Naive_LastValue,baseline,30,5,0.012948,,0.013664,0
Zero_Prediction,baseline,30,5,0.005352,,0.005609,0
Buy_and_Hold,baseline,30,30,0.002155,,0.00232,0
Naive_LastValue,baseline,30,30,0.011844,,0.012529,0
Zero_Prediction,baseline,30,30,0.002198,,0.002355,0
Buy_and_Hold,baseline,30,90,0.001231,,0.001267,0
Naive_LastValue,baseline,30,90,0.011674,,0.012256,0
Zero_Prediction,baseline,30,90,0.001302,,0.001323,0
Buy_and_Hold,baseline,90,1,0.011575,,0.012271,0
Naive_LastValue,baseline,90,1,0.016367,,0.017828,0
Zero_Prediction,baseline,90,1,0.011556,,0.012284,0
Buy_and_Hold,baseline,90,5,0.005343,,0.005597,0
Naive_LastValue,baseline,90,5,0.012955,,0.013684,0
Zero_Prediction,baseline,90,5,0.005355,,0.005618,0
Buy_and_Hold,baseline,90,30,0.002148,,0.002321,0
Naive_LastValue,baseline,90,30,0.011853,,0.01253,0
Zero_Prediction,baseline,90,30,0.002193,,0.002356,0
Buy_and_Hold,baseline,90,90,0.001224,,0.001269,0
Naive_LastValue,baseline,90,90,0.011684,,0.012246,0
Zero_Prediction,baseline,90,90,0.001297,,0.001325,0
