model_name,model_type,input_window,output_window,mae_train,mae_val,mae_test,n_params
CNN_GRU_mixed,mixed,5,1,0.011547,0.011739,0.012256,35127
CNN_GRU_mixed,mixed,5,5,0.005339,0.005332,0.005583,35127
CNN_GRU_mixed,mixed,5,30,0.002152,0.002099,0.00232,35127
CNN_GRU_mixed,mixed,5,90,0.001231,0.001222,0.001264,35127
CNN_GRU_mixed,mixed,10,1,0.011548,0.011758,0.012256,35127
CNN_GRU_mixed,mixed,10,5,0.005339,0.005383,0.005583,35127
CNN_GRU_mixed,mixed,10,30,0.002152,0.002135,0.002321,35127
CNN_GRU_mixed,mixed,10,90,0.001231,0.001238,0.001264,35127
CNN_GRU_mixed,mixed,30,1,0.01155,0.011437,0.012263,35127
CNN_GRU_mixed,mixed,30,5,0.00534,0.00527,0.005589,35127
CNN_GRU_mixed,mixed,30,30,0.002152,0.002196,0.002319,35127
CNN_GRU_mixed,mixed,30,90,0.001229,0.001233,0.001265,35127
CNN_GRU_mixed,mixed,90,1,0.011556,0.011657,0.012283,35127
CNN_GRU_mixed,mixed,90,5,0.005343,0.005251,0.005596,35127
CNN_GRU_mixed,mixed,90,30,0.002146,0.002162,0.002322,35127
CNN_GRU_mixed,mixed,90,90,0.001222,0.001202,0.001265,35127
