model_name,model_type,input_window,output_window,mae_train,mae_val,mae_test,n_params
CNN_GRU_mixed,mixed,5,1,0.011552,0.011743,0.012256,35127
CNN_GRU_mixed,mixed,5,5,0.00534,0.005331,0.005582,35127
CNN_GRU_mixed,mixed,5,30,0.002153,0.0021,0.002318,35127
CNN_GRU_mixed,mixed,5,90,0.001233,0.001223,0.001269,35127
CNN_GRU_mixed,mixed,10,1,0.011551,0.011761,0.012251,35127
CNN_GRU_mixed,mixed,10,5,0.005343,0.005385,0.005583,35127
CNN_GRU_mixed,mixed,10,30,0.002155,0.002138,0.002323,35127
CNN_GRU_mixed,mixed,10,90,0.001233,0.001241,0.00127,35127
CNN_GRU_mixed,mixed,30,1,0.011554,0.011443,0.012259,35127
CNN_GRU_mixed,mixed,30,5,0.005341,0.00527,0.005588,35127
CNN_GRU_mixed,mixed,30,30,0.002155,0.002198,0.00232,35127
CNN_GRU_mixed,mixed,30,90,0.001232,0.001234,0.001268,35127
CNN_GRU_mixed,mixed,90,1,0.011561,0.011662,0.012281,35127
CNN_GRU_mixed,mixed,90,5,0.005345,0.005253,0.005596,35127
CNN_GRU_mixed,mixed,90,30,0.002147,0.002163,0.002324,35127
CNN_GRU_mixed,mixed,90,90,0.001224,0.001204,0.001269,35127
