model_name,model_type,input_window,output_window,mae_train,mae_val,mae_test,n_params
GRU_deep,recurrent,5,1,0.011236,0.012001,0.012508,101655
GRU_deep,recurrent,5,5,0.005159,0.005348,0.005738,101655
GRU_deep,recurrent,5,30,0.002166,0.00212,0.002333,101655
GRU_deep,recurrent,5,90,0.001237,0.001261,0.001273,101655
GRU_deep,recurrent,10,1,0.011239,0.011876,0.012462,101655
GRU_deep,recurrent,10,5,0.004462,0.004906,0.006063,101655
GRU_deep,recurrent,10,30,0.001736,0.001825,0.002553,101655
GRU_deep,recurrent,10,90,0.001238,0.001257,0.001269,101655
GRU_deep,recurrent,30,1,0.011038,0.011783,0.012599,101655
GRU_deep,recurrent,30,5,0.004162,0.004431,0.006114,101655
GRU_deep,recurrent,30,30,0.001431,0.001449,0.002614,101655
GRU_deep,recurrent,30,90,0.00097,0.000974,0.001349,101655
GRU_deep,recurrent,90,1,0.011066,0.011916,0.012772,101655
GRU_deep,recurrent,90,5,0.004268,0.004485,0.006288,101655
GRU_deep,recurrent,90,30,0.001584,0.001595,0.002489,101655
GRU_deep,recurrent,90,90,0.000978,0.000986,0.001386,101655
